episode,reward,length
1,32.0,10
2,-8.0,6
3,-2.0,15
4,6.0,15
5,4.0,15
6,27.0,5
7,8.0,15
8,28.0,3
9,28.0,4
10,34.0,13
11,12.0,4
12,11.0,2
13,34.0,10
14,23.0,13
15,8.0,15
16,-5.0,1
17,7.0,15
18,6.0,15
19,12.0,3
20,36.0,12
21,21.0,12
22,26.0,3
23,-9.0,7
24,11.0,15
25,26.0,2
26,20.0,10
27,11.0,4
28,11.0,3
29,27.0,3
30,24.0,2
31,34.0,14
32,12.0,15
33,-5.0,1
34,-9.0,8
35,26.0,2
36,16.0,9
37,30.0,6
38,30.0,6
39,25.0,5
40,-13.0,3
41,-5.0,1
42,30.0,6
43,37.0,12
44,9.0,15
45,11.0,2
46,18.0,15
47,12.0,7
48,29.0,5
49,-5.0,1
50,-14.0,2
51,7.0,15
52,34.0,9
53,-13.0,3
54,-9.0,7
55,10.0,15
56,28.0,4
57,-5.0,1
58,10.0,15
59,11.0,15
60,31.0,7
61,10.0,15
62,11.0,15
63,35.0,13
64,10.0,15
65,6.0,15
66,32.0,8
67,11.0,15
68,10.0,15
69,10.0,15
70,35.0,11
71,15.0,6
72,10.0,15
73,-9.0,7
74,19.0,10
75,10.0,15
76,11.0,15
77,12.0,15
78,9.0,15
79,10.0,15
80,11.0,15
81,12.0,15
82,8.0,15
83,-5.0,1
84,-5.0,1
85,9.0,15
86,11.0,15
87,31.0,7
88,10.0,15
89,8.0,15
90,9.0,15
91,10.0,15
92,9.0,15
93,-3.0,12
94,10.0,15
95,10.0,15
96,10.0,15
97,12.0,15
98,10.0,15
99,8.0,15
100,11.0,15
101,11.0,15
102,10.0,15
103,31.0,7
104,11.0,15
105,10.0,15
106,10.0,15
107,12.0,15
108,9.0,15
109,10.0,15
110,10.0,15
111,10.0,15
112,10.0,15
113,10.0,15
114,10.0,15
115,10.0,15
116,8.0,15
117,10.0,15
118,11.0,15
119,8.0,15
120,10.0,15
121,15.0,6
122,10.0,15
123,20.0,15
124,10.0,15
125,10.0,15
126,10.0,15
127,10.0,15
128,10.0,15
129,10.0,15
130,18.0,9
131,10.0,15
132,10.0,15
133,10.0,15
134,10.0,15
135,8.0,15
136,10.0,15
137,10.0,15
138,10.0,15
139,38.0,14
140,10.0,15
141,10.0,15
142,10.0,15
143,10.0,15
144,10.0,15
145,10.0,15
146,10.0,15
147,10.0,15
148,11.0,15
149,10.0,15
150,8.0,15
151,10.0,15
152,10.0,15
153,10.0,15
154,10.0,15
155,10.0,15
156,8.0,15
157,-4.0,12
158,10.0,15
159,10.0,15
160,10.0,15
161,10.0,15
162,10.0,15
163,10.0,15
164,10.0,15
165,10.0,15
166,10.0,15
167,10.0,15
168,10.0,15
169,8.0,15
170,10.0,15
171,10.0,15
172,10.0,15
173,10.0,15
174,10.0,15
175,10.0,15
176,10.0,15
177,10.0,15
178,10.0,15
179,10.0,15
180,10.0,15
181,10.0,15
182,10.0,15
183,33.0,9
184,10.0,15
185,10.0,15
186,10.0,15
187,10.0,15
188,-6.0,10
189,10.0,15
190,10.0,15
191,10.0,15
192,10.0,15
193,10.0,15
194,10.0,15
195,10.0,15
196,10.0,15
197,10.0,15
198,11.0,2
199,11.0,15
200,10.0,15
201,10.0,15
202,8.0,15
203,10.0,15
204,10.0,15
205,10.0,15
206,10.0,15
207,10.0,15
208,10.0,15
209,10.0,15
210,10.0,15
211,10.0,15
212,10.0,15
213,10.0,15
214,11.0,15
215,11.0,15
216,10.0,15
217,20.0,11
218,10.0,15
219,11.0,15
220,10.0,15
221,10.0,15
222,10.0,15
223,10.0,15
224,10.0,15
225,11.0,15
226,10.0,15
227,10.0,15
228,10.0,15
229,10.0,15
230,12.0,15
231,11.0,15
232,10.0,15
233,8.0,15
234,10.0,15
235,10.0,15
236,10.0,15
237,12.0,15
238,34.0,15
239,-6.0,10
240,10.0,15
241,10.0,15
242,10.0,15
243,10.0,15
244,32.0,10
245,11.0,15
246,11.0,15
247,36.0,11
248,10.0,15
249,14.0,5
250,9.0,15
251,-5.0,1
252,8.0,15
253,8.0,15
254,-5.0,1
255,10.0,15
256,30.0,5
257,10.0,15
258,10.0,15
259,37.0,11
260,34.0,10
261,8.0,15
262,11.0,15
263,11.0,15
264,10.0,15
265,10.0,15
266,6.0,15
267,16.0,7
268,10.0,15
269,37.0,14
270,8.0,15
271,12.0,15
272,10.0,15
273,10.0,15
274,11.0,15
275,10.0,15
276,11.0,15
277,11.0,15
278,19.0,10
279,11.0,15
280,10.0,15
281,11.0,15
282,8.0,15
283,10.0,15
284,27.0,3
285,10.0,15
286,12.0,15
287,11.0,15
288,32.0,8
289,6.0,15
290,11.0,15
291,10.0,15
292,11.0,15
293,8.0,15
294,35.0,11
295,-14.0,2
296,10.0,15
297,32.0,8
298,34.0,15
299,-5.0,1
300,11.0,15
301,13.0,15
302,27.0,3
303,5.0,15
304,8.0,15
305,8.0,15
306,24.0,14
307,10.0,15
308,36.0,12
309,22.0,14
310,22.0,13
311,-6.0,14
312,11.0,2
313,35.0,10
314,6.0,15
315,-7.0,9
316,26.0,2
317,11.0,15
318,11.0,15
319,11.0,15
320,7.0,15
321,31.0,7
322,12.0,15
323,9.0,15
324,20.0,10
325,35.0,13
326,7.0,15
327,31.0,7
328,-7.0,9
329,11.0,15
330,21.0,13
331,-5.0,14
332,33.0,8
333,11.0,15
334,34.0,15
335,36.0,11
336,-5.0,1
337,24.0,13
338,9.0,15
339,12.0,15
340,14.0,5
341,33.0,12
342,36.0,12
343,34.0,11
344,-8.0,6
345,31.0,8
346,29.0,5
347,26.0,3
348,36.0,14
349,13.0,3
350,33.0,12
351,15.0,5
352,-12.0,5
353,38.0,11
354,13.0,15
355,29.0,4
356,12.0,5
357,33.0,8
358,28.0,4
359,-5.0,1
360,29.0,4
361,32.0,10
362,31.0,7
363,34.0,11
364,26.0,2
365,28.0,3
366,32.0,7
367,35.0,10
368,-5.0,1
369,20.0,9
370,27.0,3
371,28.0,3
372,35.0,10
373,-5.0,1
374,26.0,2
375,17.0,9
376,28.0,8
377,16.0,5
378,10.0,15
379,-10.0,5
380,14.0,4
381,-5.0,1
382,11.0,6
383,3.0,15
384,18.0,13
385,10.0,15
386,-5.0,1
387,-5.0,1
388,33.0,9
389,37.0,13
390,11.0,2
391,26.0,4
392,25.0,13
393,11.0,2
394,11.0,15
