episode,reward,length
1,14.0,15
2,17.0,6
3,-13.0,4
4,30.0,5
5,-6.0,11
6,13.0,7
7,28.0,3
8,5.0,15
9,7.0,15
10,11.0,2
11,26.0,2
12,31.0,6
13,12.0,15
14,10.0,15
15,34.0,8
16,27.0,4
17,6.0,15
18,14.0,7
19,30.0,14
20,20.0,11
21,38.0,11
22,14.0,15
23,-7.0,8
24,9.0,15
25,6.0,15
26,12.0,2
27,13.0,3
28,19.0,9
29,-9.0,5
30,25.0,3
31,2.0,15
32,13.0,4
33,35.0,11
34,11.0,7
35,9.0,15
36,28.0,4
37,26.0,2
38,24.0,2
39,12.0,3
40,19.0,9
41,19.0,10
42,30.0,6
43,-5.0,1
44,-12.0,3
45,-5.0,1
46,-5.0,1
47,14.0,5
48,2.0,15
49,26.0,2
50,35.0,11
51,31.0,7
52,31.0,7
53,10.0,3
54,26.0,2
55,22.0,13
56,16.0,6
57,-5.0,1
58,-5.0,1
59,31.0,5
60,31.0,9
61,11.0,2
62,32.0,6
63,29.0,5
64,-5.0,1
65,26.0,5
66,11.0,4
67,-13.0,4
68,25.0,5
69,-5.0,1
70,14.0,4
71,13.0,3
72,13.0,3
73,14.0,7
74,-8.0,14
75,26.0,2
76,-5.0,1
77,12.0,3
78,-5.0,1
79,-5.0,1
80,12.0,2
81,-13.0,4
82,26.0,2
83,-5.0,1
84,33.0,6
85,-5.0,1
86,-5.0,1
87,29.0,3
88,37.0,13
89,18.0,8
90,29.0,5
91,-14.0,2
92,28.0,3
93,33.0,11
94,24.0,2
95,11.0,2
96,26.0,2
97,11.0,3
98,-5.0,1
99,27.0,3
100,-12.0,4
101,-5.0,1
102,31.0,6
103,30.0,5
104,-5.0,1
105,-5.0,1
106,-8.0,5
107,-5.0,1
108,-5.0,1
109,-12.0,3
110,11.0,2
111,33.0,7
112,13.0,3
113,17.0,8
114,28.0,3
115,25.0,2
116,27.0,4
117,-5.0,1
118,11.0,2
119,27.0,8
120,28.0,3
121,40.0,11
122,33.0,11
123,12.0,2
124,-5.0,1
125,-11.0,4
126,-5.0,1
127,23.0,3
128,-5.0,1
129,-13.0,3
130,-5.0,1
131,-16.0,2
132,-5.0,1
133,26.0,2
134,-5.0,1
135,-10.0,8
136,-9.0,6
137,27.0,4
138,31.0,6
139,15.0,6
140,29.0,4
141,-5.0,1
142,-11.0,4
143,24.0,6
144,-5.0,1
145,11.0,3
146,26.0,2
147,11.0,2
148,-5.0,1
149,27.0,2
150,-5.0,1
151,-5.0,1
152,11.0,2
153,13.0,6
154,26.0,3
155,32.0,11
156,28.0,6
157,12.0,4
158,12.0,3
159,28.0,3
160,-13.0,2
161,10.0,4
162,7.0,15
163,-5.0,1
164,30.0,5
165,30.0,9
166,26.0,2
167,-5.0,1
168,14.0,5
169,-5.0,1
170,-6.0,12
171,30.0,4
172,11.0,2
173,10.0,3
174,-5.0,1
175,-5.0,1
176,-5.0,1
177,9.0,2
178,29.0,5
179,27.0,2
180,11.0,3
181,-5.0,1
182,-5.0,1
183,-5.0,1
184,-5.0,1
185,26.0,3
186,27.0,4
187,12.0,3
188,26.0,2
189,-5.0,1
190,-5.0,1
191,30.0,5
192,27.0,2
193,17.0,7
194,27.0,2
195,11.0,2
196,-5.0,1
197,26.0,2
198,9.0,15
199,-5.0,1
200,-5.0,1
201,31.0,5
202,12.0,3
203,-14.0,5
204,-5.0,1
205,-13.0,3
206,29.0,4
207,-5.0,1
208,27.0,3
209,11.0,3
210,26.0,4
211,-5.0,1
212,26.0,2
213,-5.0,1
214,-5.0,1
215,12.0,3
216,-5.0,1
217,28.0,8
218,12.0,2
219,31.0,11
220,26.0,2
221,-5.0,1
222,15.0,5
223,12.0,3
224,30.0,6
225,28.0,3
226,12.0,2
227,28.0,4
228,12.0,2
229,-5.0,1
230,11.0,2
231,26.0,3
232,26.0,3
233,-5.0,1
234,25.0,5
235,-5.0,1
236,29.0,4
237,-13.0,3
238,-13.0,3
239,-5.0,1
240,10.0,5
241,12.0,3
242,15.0,5
243,-13.0,2
244,26.0,2
245,18.0,6
246,12.0,2
247,27.0,2
248,11.0,4
249,-2.0,15
250,-5.0,1
251,30.0,4
252,24.0,3
253,11.0,2
254,-14.0,5
255,29.0,10
256,-5.0,1
257,-6.0,10
258,12.0,5
259,-5.0,1
260,12.0,5
261,27.0,4
262,-5.0,1
263,9.0,4
264,-5.0,1
265,13.0,4
266,-14.0,2
267,14.0,4
268,-5.0,1
269,27.0,3
270,24.0,6
271,-5.0,1
272,-5.0,1
273,30.0,6
274,-5.0,1
275,-5.0,1
276,10.0,2
277,-5.0,1
278,12.0,2
279,12.0,3
280,28.0,7
281,12.0,3
282,27.0,4
283,25.0,2
284,-12.0,4
285,-5.0,1
286,-5.0,1
287,-5.0,1
288,-5.0,1
289,26.0,2
290,-5.0,1
291,23.0,3
292,24.0,2
293,25.0,5
294,-14.0,2
295,28.0,7
296,27.0,3
297,33.0,8
298,24.0,2
299,-5.0,1
300,13.0,4
301,-8.0,6
302,-5.0,1
303,-5.0,1
304,25.0,3
305,-5.0,1
306,25.0,3
307,-14.0,3
308,12.0,3
309,11.0,2
310,-5.0,1
311,14.0,4
312,-5.0,1
313,26.0,3
314,-5.0,1
315,-5.0,1
316,-5.0,1
317,-15.0,2
318,-5.0,1
319,-5.0,1
320,34.0,6
321,-5.0,1
322,26.0,2
323,-5.0,1
324,30.0,8
325,-5.0,1
326,15.0,6
327,27.0,2
328,-13.0,3
329,13.0,6
330,13.0,4
331,11.0,2
332,27.0,2
333,-5.0,1
334,10.0,3
335,-5.0,1
336,32.0,6
337,-5.0,1
338,28.0,3
339,13.0,4
340,-5.0,1
341,-5.0,1
342,-5.0,1
343,-5.0,1
344,-5.0,1
345,-5.0,1
346,26.0,2
347,-5.0,1
348,29.0,3
349,-13.0,3
350,24.0,3
351,-10.0,4
352,-5.0,1
353,26.0,3
354,-13.0,3
355,-14.0,2
356,-5.0,1
357,14.0,4
358,28.0,3
359,34.0,6
360,-5.0,1
361,-5.0,1
362,25.0,3
363,26.0,3
364,-5.0,1
365,26.0,3
366,28.0,3
