episode,reward,length
1,13.0,15
2,9.0,15
3,34.0,9
4,-13.0,14
5,11.0,15
6,13.0,15
7,30.0,6
8,33.0,9
9,-2.0,12
10,7.0,15
11,25.0,8
12,34.0,9
13,14.0,5
14,-6.0,15
15,-5.0,1
16,29.0,6
17,12.0,15
18,13.0,5
19,-5.0,1
20,-8.0,15
21,-5.0,1
22,32.0,6
23,-5.0,1
24,16.0,5
25,12.0,2
26,28.0,3
27,35.0,14
28,-5.0,1
29,15.0,6
30,8.0,15
31,5.0,15
32,-2.0,14
33,37.0,14
34,22.0,12
35,-8.0,6
36,38.0,12
37,37.0,12
38,31.0,8
39,16.0,8
40,29.0,3
41,32.0,7
42,27.0,2
43,21.0,12
44,-5.0,1
45,17.0,11
46,-11.0,3
47,-5.0,1
48,33.0,8
49,20.0,12
50,17.0,15
51,-13.0,5
52,25.0,5
53,-5.0,1
54,7.0,15
55,-14.0,2
56,17.0,14
57,-10.0,15
58,7.0,15
59,-5.0,1
60,-5.0,1
61,-5.0,1
62,17.0,8
63,26.0,4
64,3.0,15
65,2.0,15
66,10.0,2
67,10.0,3
68,9.0,15
69,13.0,15
70,24.0,4
71,-12.0,5
72,25.0,4
73,19.0,11
74,27.0,9
75,32.0,9
76,-5.0,10
77,20.0,9
78,27.0,10
79,37.0,13
80,32.0,6
81,-12.0,9
82,-5.0,1
83,-13.0,3
84,30.0,6
85,24.0,8
86,12.0,4
87,-8.0,15
88,27.0,5
89,-13.0,15
90,11.0,4
91,1.0,15
92,20.0,9
93,28.0,4
94,21.0,14
95,41.0,14
96,11.0,15
97,25.0,8
98,27.0,5
99,18.0,7
100,12.0,2
101,35.0,8
102,5.0,15
103,-5.0,1
104,26.0,5
105,9.0,15
106,-9.0,12
107,31.0,5
108,30.0,14
109,16.0,5
110,30.0,6
111,11.0,2
112,29.0,8
113,8.0,15
114,13.0,3
115,32.0,8
116,29.0,4
117,-14.0,2
118,11.0,15
119,-11.0,5
120,8.0,15
121,3.0,15
122,31.0,5
123,33.0,8
124,-13.0,4
125,30.0,5
126,-5.0,1
127,27.0,7
128,28.0,5
129,-5.0,1
130,14.0,5
131,-5.0,1
132,28.0,5
133,32.0,8
134,29.0,15
135,27.0,6
136,7.0,15
137,-11.0,4
138,4.0,15
139,26.0,3
140,21.0,13
141,6.0,15
142,10.0,15
143,20.0,7
144,10.0,15
145,-5.0,1
146,24.0,2
147,30.0,6
148,6.0,15
149,8.0,15
150,-15.0,2
151,15.0,6
152,9.0,15
153,-5.0,1
154,-13.0,4
155,2.0,13
156,11.0,2
157,-5.0,1
158,30.0,4
159,3.0,15
160,12.0,7
161,11.0,2
162,37.0,12
163,-5.0,1
164,12.0,2
165,27.0,7
166,26.0,10
167,16.0,15
168,9.0,15
169,12.0,3
170,27.0,6
171,10.0,2
172,16.0,8
173,5.0,15
174,12.0,3
175,14.0,15
176,15.0,5
177,17.0,15
178,17.0,12
179,11.0,4
180,16.0,5
181,14.0,4
182,-5.0,1
183,26.0,4
184,38.0,12
185,-5.0,12
186,28.0,8
187,10.0,3
188,-5.0,1
189,11.0,15
190,1.0,15
191,12.0,15
192,26.0,7
193,31.0,8
194,9.0,2
195,26.0,2
196,-5.0,15
197,14.0,3
198,25.0,5
199,28.0,8
200,28.0,4
201,5.0,15
202,11.0,2
203,-5.0,1
204,12.0,2
205,28.0,3
206,12.0,15
207,14.0,15
208,-5.0,1
209,12.0,10
210,15.0,15
211,28.0,13
212,25.0,2
213,27.0,2
214,26.0,5
215,-12.0,4
216,41.0,14
217,37.0,14
218,31.0,10
219,-5.0,1
220,-5.0,7
221,13.0,4
222,30.0,5
223,26.0,3
224,32.0,6
225,-14.0,4
226,37.0,11
227,18.0,8
228,27.0,6
229,29.0,6
230,-5.0,1
231,16.0,10
232,32.0,12
233,-5.0,1
234,21.0,9
235,-13.0,3
236,33.0,7
237,-10.0,8
238,10.0,15
239,-5.0,1
240,18.0,9
241,15.0,12
242,25.0,13
243,29.0,4
244,12.0,2
245,33.0,10
246,-14.0,5
247,28.0,10
248,27.0,6
249,27.0,2
250,31.0,7
251,17.0,15
252,35.0,15
253,-5.0,1
254,33.0,8
255,31.0,7
256,15.0,15
257,38.0,12
258,-5.0,1
259,30.0,5
260,27.0,4
261,6.0,15
262,34.0,11
263,31.0,11
264,10.0,15
265,-6.0,12
266,11.0,2
267,19.0,8
268,14.0,7
269,35.0,14
270,28.0,4
271,13.0,3
272,35.0,15
273,9.0,15
274,30.0,6
275,26.0,2
276,42.0,15
277,33.0,9
278,2.0,15
279,-5.0,1
280,-9.0,11
281,13.0,3
282,-5.0,1
283,26.0,2
284,2.0,15
285,25.0,6
286,16.0,6
287,24.0,2
288,16.0,15
289,30.0,6
290,29.0,10
291,17.0,15
292,8.0,15
293,-1.0,15
294,35.0,11
295,11.0,15
296,4.0,15
297,10.0,8
298,14.0,3
299,37.0,9
300,9.0,15
301,15.0,7
302,30.0,6
